"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,40198623,1,40524783
2020,40204156,1,40529594
2020,40204235,1,40529673
2020,40204247,1,40529681
2020,40198864,1,40529696
2020,40204305,1,40530105
2020,40204356,1,40530161
2020,40204364,1,40530168
2020,40204376,1,40529812
2020,40199079,1,40529905
2020,40204592,1,40530394
2020,40204615,1,40535045
2020,40199254,1,40535095
2020,40204695,1,40535131
2020,40199276,1,40530482
2020,40199275,1,40535129
2020,40204748,3,40535185
2020,40199357,1,40530560
2020,40204805,1,40535249
2020,40199415,1,40530611
2020,40199419,1,40535256
2020,40204978,1,40535414
2020,40209565,1,40535413
2020,40204998,1,40530797
2020,40209630,1,40530834
2020,40205173,3,40535600
2020,38500054,1,38580453
2020,38500067,1,38580461
2020,38499912,1,38580334
2020,38499937,1,38580337
2020,38495372,1,38575826
2020,38495373,1,38580436
2020,38495473,1,38575931
2020,38500186,1,38575995
2020,38500289,1,38580671
2020,38495868,1,38580822
2020,38495876,1,38576337
2020,38500785,1,38576826
2020,38496379,3,38576835
2020,38496519,1,38581333
2020,38501102,1,38581496
2020,38501100,1,38577194
2020,38496874,1,38577343
2020,38496889,1,38577364
2020,38501231,1,38581612
2020,38501232,1,38577377
2020,38496912,1,38577391
2020,38497030,1,38577502
2020,38497049,1,38577523
2020,38501346,1,38581736
2020,38501365,1,38581758
2020,38501409,1,38581795
2020,38497140,1,38577616
2020,38497297,1,38581921
2020,38497385,3,38577849
2020,38497417,1,38582007
2020,38501612,1,38582008
2020,38497557,5,38582123
2020,38497579,1,38578037
2020,38497633,3,38582176
2020,38501775,1,38582174
2020,38497649,1,38582194
2020,38497716,1,38578188
2020,38497741,1,38582269
2020,38501881,1,38578220
2020,38497757,1,38578229
2020,38497791,1,38578252
2020,38501957,1,38582360
2020,38501999,7,38582396
2020,38502054,7,38582456
2020,38498125,1,38578590
2020,38498169,1,38582561
2020,38502227,1,38578715
2020,38498379,1,38582724
2020,38502315,1,38578826
2020,38498410,1,38578867
2020,38498443,1,38578901
2020,38502378,1,38578912
2020,38502437,1,38578993
2020,38498684,1,38582963
2020,38498789,1,38583069
2020,38502710,1,38583121
2020,38498997,1,38579452
2020,38494835,1,38575265
2020,38494921,1,38575347
2020,38499613,1,38580039
2020,38495137,1,38575571
2020,38495139,1,38575572
2020,38495190,7,38575624
2020,38500034,1,38580433
2020,38500181,1,38575984
2020,38495543,1,38576002
2020,38500200,1,38580596
2020,38495587,1,38576057
2020,38495742,1,38576210
2020,38495755,1,38576223
2020,38495870,1,38580825
2020,38495992,1,38580914
2020,38496222,1,38576671
2020,38496228,1,38576677
2020,38496345,1,38581165
2020,38500918,1,38576969
2020,38496557,1,38581368
2020,38496606,1,38577067
2020,38501128,1,38581514
2020,38496762,1,38581521
2020,38496767,1,38581526
2020,38501156,1,38577270
2020,38501249,1,38581627
2020,38496936,1,38581628
2020,38501248,1,38577408
2020,38501261,7,38577420
2020,38496966,1,38577440
2020,38501366,1,38577553
2020,38497134,1,38577609
2020,38501487,1,38577693
2020,38497232,1,38577710
2020,38501543,1,38581937
2020,38497361,1,38577829
