"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,16,124384218,54,9,13826358
2020,5,124384218,1,11,13826357
2020,5,124388225,0.09,1,13826370
2020,5,124394610,2.5,1,13833369
2020,16,124395891,1,9,13826595
2020,12,124395891,1.2,9,13826594
2020,8,124394348,5,9,13830374
2020,12,130505712,1,11,15179051
2020,5,130505754,3,1,15179054
2020,4,130505820,1,9,15176006
2020,12,130505819,0.73,1,15176005
2020,4,130505819,0.66,1,15176004
2020,5,130506074,1,11,15179068
2020,5,130502795,0.001,1,15179095
2020,12,130503042,0.4,1,15176098
2020,12,130503098,1,1,15179154
2020,12,130503118,10.5,1,15179159
2020,8,130503118,20,5,15176126
2020,1,130506706,1,1,15176134
2020,12,130507016,,,15179191
2020,5,130507417,28,4,15176206
2020,12,130507445,1,1,15176216
2020,5,130503905,4,3,15179227
2020,5,130507486,4,1,15176229
2020,8,130504418,,,15179292
2020,5,130504510,2.2,1,15179297
2020,5,130509861,0.001,3,15179330
2020,17,130509952,2,9,15179341
2020,13,130509952,7,9,15179340
2020,5,130510291,1,11,15179389
2020,5,130508957,3,1,15176441
2020,5,130509087,23.8,1,15176469
2020,5,130510761,3,1,15179482
2020,8,130510961,1,11,15176510
2020,12,130510961,1,11,15179501
2020,4,130510961,1,11,15176509
2020,12,130514594,,,15179540
2020,13,130511895,1,11,15176643
2020,12,130511895,1,11,15176640
2020,17,130515951,,,15179702
2020,16,130515993,0.001,1,15179704
2020,12,130512872,0.008,1,15176771
2020,4,130512872,0.001,1,15179734
2020,12,130513040,1,11,15176786
2020,5,130513703,6.1,1,15176848
2020,5,130517072,20.9,1,15179822
2020,5,130513765,130,1,15176862
2020,12,130517657,2,1,15179895
2020,15,130517657,1,9,15176932
2020,12,130518215,0.03,1,15179963
2020,12,130518266,4.13,1,15179970
2020,5,130520250,1,11,15177023
2020,11,130520250,2,2,15177026
2020,17,130520250,1,11,15177024
2020,17,130518648,,,15179997
2020,5,130518881,1,11,15177077
2020,5,130518904,1,1,15180037
2020,4,130519007,1,11,15180055
2020,5,130519024,4,1,15180062
2020,17,130519074,,,15177115
2020,2,130519190,0.002,1,15177154
2020,5,130519190,0.001,1,15180124
2020,5,130521015,4.5,4,15177159
2020,1,130521043,0.003,1,15180136
2020,11,130521043,0.002,1,15177172
2020,17,130519262,,,15180157
2020,5,130524592,1,11,15177244
2020,12,130524686,1,11,15177252
2020,5,130521925,7,1,15180286
2020,12,130506097,1,11,15176039
2020,5,130506097,1,11,15176037
2020,5,130502891,3,1,15176067
2020,4,130502994,1,1,15179125
2020,12,130502994,2,1,15179124
2020,5,130502994,2,1,15176082
2020,5,130507259,0.072,3,15179212
2020,5,130507730,0.04,1,15179276
2020,12,130508646,0.001,1,15176349
2020,12,130510223,0.1,1,15176373
2020,5,130510223,1,1,15176372
2020,5,130510779,0.99,3,15176495
2020,5,130510892,0.5,3,15176505
2020,12,130512006,1,11,15176649
2020,5,130516714,0.001,3,15179796
2020,5,130513699,1,1,15176847
2020,12,130517117,1,4,15179828
2020,16,130518683,19.5,9,15177045
2020,8,130518683,6,9,15177046
2020,17,130520835,,,15177101
2020,12,130521213,1.62,1,15177206
2020,12,130524895,,,15180256
2020,5,130522010,13.9,1,15177332
2020,4,130522891,,,15177468
2020,12,130522891,,,15180442
2020,8,130522891,,,15177467
2020,12,130526037,1,11,15180454
2020,12,130503030,1,1,15176095
2020,8,130503041,5,1,15176097
2020,5,130506742,,,15179165
2020,5,130507059,1,10,15176157
2020,12,130507476,9.2,1,15179243
2020,2,130507888,0.9,4,15179290
2020,5,130512398,1,1,15179678
2020,12,130512398,1,1,15179679
2020,5,130512476,0.001,1,15179688
2020,17,130516063,,,15179713
2020,17,130512736,,,15179718
2020,5,130516796,1,9,15176819
2020,5,130517632,,,15179891
2020,5,130518477,3.5,1,15177022
2020,5,130518940,1,11,15177086
2020,5,130518948,5,1,15177088
2020,5,130520912,1,1,15177124
2020,12,130521328,0.024,3,15177221
2020,5,130521868,13.1,1,15177292
2020,12,130521868,10,9,15177293
