"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,9,161805841
2020,9,161805851
2020,6,161800816
2020,9,161800827
2020,9,161805886
2020,9,161805883
2020,9,161800873
2020,9,161805981
2020,6,161805997
2020,9,161806006
2020,6,161806021
2020,9,161800911
2020,6,161806043
2020,6,161800922
2020,8,161800921
2020,9,161800928
2020,6,161806076
2020,9,161806098
2020,6,161806109
2020,9,161806120
2020,9,161800968
2020,6,156925076
2020,6,156928211
2020,6,156928244
2020,6,156925176
2020,8,156925178
2020,6,156928512
2020,6,156928681
2020,8,156928761
2020,6,156928917
2020,6,156925538
2020,6,156925527
2020,6,156925835
2020,6,156925926
2020,6,156925992
2020,8,156931192
2020,12,156931243
2020,6,156929744
2020,6,156931430
2020,6,156929813
2020,6,156929950
2020,6,156929955
2020,6,156930241
2020,6,156930802
2020,3,156932418
2020,6,156932436
2020,6,156931019
2020,6,156932432
2020,9,156932852
2020,6,156932985
2020,1,156933064
2020,6,156933143
2020,8,156936745
2020,9,156936801
2020,9,156933459
2020,9,156937062
2020,1,156933586
2020,8,156933586
2020,6,156933751
2020,6,156937266
2020,4,156937350
2020,3,156933867
2020,6,156933867
2020,9,156933903
2020,9,156933900
2020,6,156937533
2020,9,156937868
2020,9,156934476
2020,6,156934571
2020,6,156934533
2020,6,156938177
2020,6,156938213
2020,6,156934596
2020,9,156938279
2020,6,156934728
2020,6,156934731
2020,6,156938485
2020,6,156938583
2020,7,156934947
2020,6,156934948
2020,9,156935142
2020,6,156939010
2020,6,156939103
2020,3,156939120
2020,6,156935590
2020,6,156939184
2020,6,156935782
2020,6,156935817
2020,6,156935878
2020,9,156935886
2020,9,156939519
2020,9,156939656
2020,9,156939666
2020,9,156939678
2020,6,156939725
2020,6,156940061
2020,9,156941653
2020,9,156940431
2020,6,156942002
2020,9,156940664
2020,9,156942147
2020,6,156942297
2020,6,156942337
2020,6,156940871
2020,9,156940923
2020,8,156942457
2020,6,156942506
2020,9,156942617
2020,6,156942651
2020,9,156946210
2020,9,156946211
2020,6,156942902
2020,9,156942894
2020,6,156946356
2020,9,156946735
2020,6,156946710
2020,6,156947157
2020,8,156947157
2020,9,156947182
2020,6,156947576
2020,2,156947576
2020,9,156947548
2020,6,156947869
2020,9,156944203
2020,8,156947915
2020,9,156944239
2020,9,156947943
2020,9,156947992
2020,8,156948071
2020,9,156948090
2020,12,156944411
2020,12,156944418
2020,12,156948156
2020,12,156944423
2020,6,156948199
2020,9,156948308
2020,6,156948498
2020,6,156944867
2020,6,156948948
2020,6,156949062
2020,8,156945156
2020,6,156945343
2020,6,156945396
2020,6,156949679
2020,3,156945735
2020,6,156949701
2020,6,156949823
2020,9,156945888
2020,6,156949911
2020,3,156949911
2020,6,156949951
2020,6,156917661
2020,6,156915989
2020,6,156924041
2020,6,156924024
2020,6,156926703
2020,6,156926778
2020,6,156926751
2020,6,156927677
2020,6,156927773
2020,9,156927881
2020,9,156927878
2020,9,156927895
2020,6,156928000
2020,6,156924959
2020,8,156928537
2020,8,156928694
2020,8,156928759
2020,9,156928779
2020,6,156925505
2020,6,156925504
2020,8,156928934
2020,6,156925806
2020,6,156925808
2020,8,156926007
2020,6,156929354
2020,3,156929350
2020,9,156926149
2020,9,156929722
2020,6,156930533
2020,6,156930742
2020,8,156932393
2020,6,156932419
2020,6,156932420
2020,6,156931057
2020,9,156936198
2020,8,156936231
2020,9,156936321
2020,6,156936322
2020,9,156932741
2020,6,156932805
2020,6,156936464
2020,6,156936483
2020,6,156932916
2020,6,156936677
2020,6,156936691
2020,5,156933176
2020,6,156933176
2020,5,156936842
2020,3,156936839
2020,9,156933338
2020,6,156933396
2020,8,156937067
2020,6,156937070
2020,6,156937094
2020,8,156937199
2020,9,156933727
2020,6,156933768
2020,1,156937370
2020,6,156937370
2020,6,156937377
2020,9,156937420
2020,9,156937450
2020,9,156937473
2020,6,156937430
