"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,18,159692724,32829733
2020,18,159692845,32823883
2020,12,159692845,32829766
2020,12,159697207,32829783
2020,3,159692935,32829793
2020,3,160429605,33037070
2020,12,160431212,33034505
2020,3,160429617,33037078
2020,3,160429624,33037081
2020,12,160429647,33037093
2020,12,160429660,33037101
2020,12,160429661,33037102
2020,12,160429662,33037103
2020,10,160429665,33037106
2020,12,160429674,33037111
2020,2,160429681,33037113
2020,3,160429691,33037116
2020,2,160429696,33037120
2020,9,160429702,33037121
2020,12,160429702,33037122
2020,10,160429707,33037125
2020,12,160451765,33042626
2020,18,160450055,33042653
2020,12,160450068,33040245
2020,3,160451956,33040249
2020,2,160452008,33040265
2020,12,160450188,33040269
2020,19,162217931,33480423
2020,12,160452076,33040297
2020,2,160450247,33040300
2020,12,160450282,33042705
2020,3,160452214,33042732
2020,20,162213263,33480392
2020,18,160450413,33040345
2020,12,160450441,33040346
2020,12,160450443,33040347
2020,12,160450521,33040368
2020,12,160450673,33040409
2020,12,160450698,33040414
2020,10,160450706,33040416
2020,3,160450706,33040415
2020,9,160452573,33042849
2020,18,160452592,33042854
2020,12,160452592,33042853
2020,12,160452631,33040464
2020,3,162214111,33489959
2020,12,162218621,33480599
2020,12,162218738,33489989
2020,3,162218768,33489995
2020,20,162219097,33490037
2020,12,162215138,33480789
2020,3,162219895,33480839
2020,12,162215519,33480872
2020,20,162220111,33490270
2020,3,162215519,33480873
2020,12,162220622,33490375
2020,12,162220660,33481012
2020,12,162221364,33490445
2020,3,162226325,33490553
2020,12,162226680,33490626
2020,20,162226902,33490671
2020,12,159661116,32815154
2020,12,159661118,32819896
2020,12,159663761,32815188
2020,3,159666442,32815222
2020,12,159663871,32819973
2020,12,159666530,32820002
2020,12,159666643,32815285
2020,12,159664516,32815419
2020,12,159664121,32820046
2020,12,159664234,32815339
2020,12,159664628,32815437
2020,3,159667022,32820118
2020,20,159668169,32820331
2020,12,159665475,32815571
2020,10,159665475,32815574
2020,17,159665475,32815572
2020,12,159665749,32815621
2020,18,159665768,32815626
2020,12,159668500,32820402
2020,2,159666043,32820441
2020,3,159668698,32820456
2020,3,159668691,32820453
2020,3,159668694,32820455
2020,18,159668703,32820458
2020,12,159671471,32815779
2020,3,159668999,32820543
2020,19,159671652,32820561
2020,19,159669061,32820558
2020,20,159671789,32820591
2020,12,159671893,32820607
2020,3,159669882,32820729
2020,3,159672252,32820683
2020,12,159672344,32815972
2020,3,159672407,32820730
2020,12,159672532,32816016
2020,11,159672659,32816042
2020,10,159672659,32816043
2020,12,159672648,32816041
2020,12,159672659,32816045
2020,3,159670446,32820833
2020,19,159673305,32816172
2020,12,159670786,32820904
2020,12,159670813,32816179
2020,12,159670819,32816181
2020,10,159673428,32816202
2020,3,159673446,32816210
2020,12,159673466,32816214
2020,12,159671042,32816242
2020,12,159673571,32820979
2020,3,159673658,32821026
2020,12,159673658,32821027
2020,19,159673801,32816306
2020,3,159676354,32821070
2020,12,159673951,32816351
2020,12,159676523,32821111
2020,12,159674021,32816371
2020,20,159676597,32821129
2020,3,159674104,32816395
2020,12,159674296,32821186
2020,12,159674351,32821203
2020,12,159676921,32816498
2020,12,159674519,32816536
2020,12,159677117,32821289
2020,12,159677148,32821302
2020,12,159674773,32821345
2020,9,159677314,32816590
2020,2,159674846,32821366
2020,3,160442738,33036553
2020,3,160442807,33036584
2020,12,160442897,33036602
2020,12,160440393,33039069
2020,4,160440658,33039143
2020,12,160440669,33039145
2020,3,160440729,33039162
2020,12,160443252,33036692
2020,19,160443268,33036698
2020,12,160443339,33036735
2020,12,160440899,33039212
2020,12,160443492,33041779
2020,4,160440979,33041790
2020,3,160440979,33041789
2020,12,160443543,33039237
2020,12,160443574,33039242
2020,19,160443685,33041828
2020,3,160443689,33041830
2020,11,160443866,33041876
2020,12,160446381,33039326
2020,12,160446648,33039362
2020,3,160446582,33039345
2020,12,160446604,33039350
2020,3,160444071,33041912
2020,3,160444072,33041913
2020,12,160446691,33039368
2020,12,160444087,33041916
2020,12,160446935,33039388
2020,12,160446934,33039387
2020,3,160444195,33041918
2020,3,160446971,33039390
2020,12,160447367,33039481
2020,3,160447371,33039482
2020,12,160447373,33039483
2020,12,159663716,32819923
2020,12,159663883,32819975
2020,2,159666545,32815247
2020,12,159663973,32820005
2020,3,159666702,32820053
2020,12,159664168,32815323
2020,20,159666852,32820085
2020,12,159664419,32815388
2020,2,159667138,32820140
2020,19,159664465,32815404
2020,9,159664868,32815480
2020,12,159667616,32820241
2020,12,159665214,32820268
2020,3,159665260,32815529
2020,3,159665258,32815528
2020,3,159665288,32815530
2020,10,159665485,32815577
2020,12,159665868,32820382
2020,3,159671297,32815739
2020,12,159668742,32820471
2020,3,159671360,32815747
2020,19,159668887,32820513
2020,3,159669136,32815853
2020,12,159669817,32815977
2020,12,159671905,32815890
2020,12,159669475,32815909
2020,3,159669680,32815950
2020,3,159669797,32820710
2020,12,159669805,32815969
2020,12,159672354,32820713
2020,3,159672489,32820750
2020,12,159670219,32820793
2020,2,159672786,32820800
2020,3,159670271,32820803
2020,2,159670267,32816077
2020,3,159670306,32820815
2020,18,159672924,32816113
2020,12,159672924,32820828
2020,12,159670717,32820890
2020,12,159673233,32820894
2020,18,159673277,32820899
2020,10,159670902,32820937
2020,4,159670902,32820936
2020,3,159673654,32821019
2020,23,159673654,32816268
2020,12,159676247,32821049
2020,12,159676268,32821052
2020,12,159676373,32821077
2020,12,159673955,32816352
2020,3,159673955,32816353
2020,6,159673955,32816354
2020,19,159674376,32816494
2020,3,159674509,32821256
2020,12,159677055,32821271
2020,12,159674905,32816618
2020,12,159674976,32816635
2020,3,159677504,32821415
2020,12,159677541,32821427
2020,3,159675163,32816681
2020,12,159677697,32816704
2020,3,159675702,32821836
2020,12,159678298,32821622
2020,19,159675716,32821845
2020,3,159675720,32821849
