"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,144062132,148904766,18,47075173
2020,144062134,148904770,18,47075180
2020,144062134,148908625,18,47079116
2020,144062137,148904769,18,47075181
2020,144062132,148908626,18,47075178
2020,144062137,148908626,18,47075182
2020,144062134,148904766,18,47079114
2020,144062134,148904769,18,47079117
2020,144062132,148908625,18,47075175
2020,144062137,148904768,18,47079121
2020,144062443,148908907,18,47079230
2020,144068002,148910473,4,47075392
2020,144068397,148909840,3,47079520
2020,144065645,148910845,1,47075542
2020,144068816,148911229,9,47079664
2020,144065970,148915175,1,47079632
2020,144066071,148911259,1,47079682
2020,144068929,148915344,3,47079709
2020,144069151,148915591,24,47079779
2020,144054325,148897094,21,47076397
2020,144054682,148894836,26,47073067
2020,144052099,148898606,19,47077058
2020,144055176,148898224,1,47073289
2020,144051894,148898408,1,47076975
2020,144055572,148898669,21,47077086
2020,144055708,148900923,5,47073534
2020,144052338,148900923,25,47073531
2020,144055708,148900922,25,47073535
2020,144052338,148900922,17,47073532
2020,144052625,148899154,17,47077275
2020,144055915,148899154,19,47077276
2020,144052688,148901207,16,47077310
2020,144056013,148899280,19,47073679
2020,144052753,148901246,16,47077327
2020,144058131,148899695,26,47077465
2020,144058347,148901731,3,47077555
2020,144058850,148905293,24,47077764
2020,144058877,148902125,16,47077776
2020,144058882,148902125,16,47077778
2020,144058884,148902125,16,47074005
2020,144057004,148905553,24,47077818
2020,144059361,148902518,19,47077952
2020,144059562,148906109,18,47074227
2020,144057513,148906139,1,47078068
2020,144057702,148906362,24,47074352
2020,144060073,148906584,17,47074426
2020,144060383,148906881,18,47078433
2020,144060389,148906900,24,47074504
2020,144060817,148907295,18,47078617
2020,144060866,148903659,16,47074689
2020,144060910,148907387,9,47078661
2020,144063658,148903793,21,47078709
2020,144063699,148907564,9,47078719
2020,144063699,148903825,18,47078720
2020,144063844,148907712,3,47074837
2020,144061217,148903982,3,47074846
2020,144061241,148904004,3,47078798
2020,144061657,148904395,3,47078959
2020,144064055,148904174,19,47074941
2020,144061688,148908194,14,47075045
2020,144064447,148908426,21,47079053
2020,144064556,148908567,18,47075160
2020,149013386,154001119,1,49298019
2020,149013395,154001119,18,49293506
2020,149013392,154001122,9,49298023
2020,149010540,154001122,25,49293495
2020,149010540,154005337,18,49293497
2020,149013392,154005337,18,49298025
2020,149013386,154001122,3,49293491
2020,149013386,154005337,18,49293493
2020,149013392,154001120,3,49298024
2020,149013391,154001119,3,49293499
2020,149014012,154005912,24,49293608
2020,149014012,154005910,24,49298108
2020,144054181,148896913,9,47072871
2020,144050519,148894438,19,47072898
2020,144050544,148896998,15,47076364
2020,144050542,148896998,15,47076363
2020,144050545,148896998,15,47072911
2020,144050957,148897456,16,47076540
2020,144055457,148898543,24,47077040
2020,144055528,148900716,3,47073460
2020,144052403,148900911,3,47077159
2020,144055772,148898939,3,47073569
2020,144052484,148899005,18,47077206
2020,144056092,148901327,13,47073713
2020,144052677,148901204,24,47077304
2020,144055971,148899220,3,47077316
2020,144052873,148901323,3,47077355
2020,144056570,148901812,18,47077591
2020,144058500,148905068,19,47077629
2020,144056753,148901976,16,47073947
2020,144058912,148905444,1,47074012
2020,144057028,148902249,3,47077826
