"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,6,153474580
2020,9,153474645
2020,9,153474663
2020,9,153470567
2020,9,153470813
2020,9,153475205
2020,9,153475312
2020,9,153475456
2020,9,153476245
2020,3,153476313
2020,4,153476313
2020,6,153476397
2020,9,153475737
2020,9,153476486
2020,9,153476603
2020,9,153475927
2020,9,153475960
2020,9,153476049
2020,6,153476821
2020,6,153476820
2020,6,153476128
2020,6,153477321
2020,8,153481527
2020,8,153481529
2020,8,153477495
2020,6,153477571
2020,3,153477538
2020,8,153477539
2020,6,153477537
2020,6,153482570
2020,6,153478924
2020,6,155432145
2020,6,155432146
2020,6,155432211
2020,8,155430392
2020,6,155430436
2020,6,155432524
2020,9,155430600
2020,9,155430890
2020,9,154399762
2020,6,155428654
2020,8,155426065
2020,6,155429678
2020,6,155429824
2020,6,155431079
2020,6,155433065
2020,6,155433533
2020,1,155437150
2020,3,155434365
2020,6,155434504
2020,6,155434503
2020,8,155435406
2020,6,155435156
2020,9,155435403
2020,6,153467801
2020,9,153467861
2020,6,153471480
2020,6,153471727
2020,8,153468207
2020,5,153472027
2020,3,153472117
2020,6,153468988
2020,6,153469069
2020,6,153472798
2020,6,153472797
2020,6,153472941
2020,9,153472951
2020,6,153469311
2020,9,153473177
2020,6,153469497
2020,9,153473374
2020,9,153473424
2020,6,153473664
2020,6,153469851
2020,9,153469879
2020,9,153469930
2020,9,153470200
2020,9,153474334
2020,9,153474475
2020,8,153483394
2020,6,153483147
2020,6,153483536
2020,6,153483535
2020,12,153483673
2020,6,153483934
2020,8,153480642
2020,6,153484051
2020,8,153484297
2020,8,153480641
2020,6,153486292
2020,7,153485166
2020,6,153485192
2020,6,153485206
2020,14,153486388
2020,6,153485286
2020,8,153485298
2020,6,153485614
2020,6,153485611
2020,6,153485610
2020,6,153485638
2020,6,153485637
2020,6,154399796
2020,6,153460616
2020,6,153463824
2020,14,153460760
2020,9,153461108
2020,9,153467088
2020,9,153466357
2020,6,153466577
2020,8,153465628
2020,6,153465631
2020,6,153465638
2020,9,153465799
2020,9,153465804
2020,9,153467682
2020,6,153471411
2020,6,153471730
2020,9,153471996
2020,9,153468742
2020,6,153469045
2020,9,153469091
2020,9,153473024
2020,6,153473045
2020,6,153473648
2020,6,153469854
2020,6,153473678
2020,6,153473706
2020,6,153473707
2020,6,153473773
2020,6,153473772
2020,9,153473799
2020,9,153470010
2020,9,153470143
2020,9,153474317
2020,9,153470436
2020,6,153470443
2020,9,153474984
2020,9,153475262
2020,9,153475431
2020,9,153475540
2020,6,153476273
2020,9,153476351
2020,3,153475688
2020,6,153476494
2020,6,153475794
2020,9,153476616
2020,9,153476660
2020,9,153475975
2020,9,153476012
2020,9,153476019
2020,6,153476768
2020,6,153476145
2020,6,153476143
2020,6,153476898
2020,6,153481436
2020,3,153481437
2020,6,153477263
2020,8,153481892
2020,6,153481898
2020,6,153481896
2020,8,153478756
2020,6,153477850
2020,6,153481998
2020,6,153482402
2020,6,153482413
2020,6,153482412
2020,6,153460577
2020,6,153460579
2020,6,153463823
2020,6,153461076
2020,8,153464414
2020,8,153464413
2020,9,153464599
2020,9,153464600
2020,1,153466399
2020,6,153466483
2020,6,153466481
2020,6,153464711
2020,6,153464709
2020,3,153465095
2020,6,153466841
2020,6,153466844
2020,6,153465417
2020,9,153467540
2020,6,153467643
2020,9,153467723
2020,9,153472212
2020,3,153472331
2020,6,153472706
2020,6,153472875
2020,6,153472876
2020,9,153473028
2020,6,153473226
2020,6,153473224
2020,6,153469527
2020,9,153473303
2020,9,153469933
2020,9,153474533
2020,9,153474786
2020,6,153474830
2020,9,153474965
2020,6,153475146
2020,6,153470965
2020,3,153475179
2020,9,153475327
2020,9,153475494
2020,6,153475537
2020,6,153475581
2020,6,153476387
2020,6,153476436
2020,8,153476436
2020,9,153476435
2020,6,153475898
2020,9,153476632
2020,9,153476009
2020,9,153476014
2020,9,153476715
2020,9,153476723
2020,6,153476075
2020,6,153480065
2020,8,153483777
2020,6,153480202
2020,1,153483791
2020,6,153480291
2020,6,153484850
2020,8,153484851
2020,6,153486077
2020,6,153487636
2020,6,153487637
2020,6,153484897
2020,6,153484914
2020,6,153484915
2020,6,153463977
2020,9,153463766
2020,9,153463993
2020,6,153460884
2020,6,153465166
2020,9,153465477
2020,9,153461171
2020,9,153465075
2020,9,153465646
2020,6,153467164
2020,9,153467416
2020,9,153467941
2020,9,153468527
2020,9,153472235
2020,9,153468734
2020,9,153468975
2020,9,153469026
2020,6,153473202
2020,9,153469491
2020,6,153473246
2020,9,153469814
2020,6,153473717
2020,9,153473731
2020,9,153469908
2020,9,153473842
2020,9,153474106
2020,6,153474141
2020,9,153474149
2020,9,153470306
2020,9,153474472
2020,9,153474471
2020,6,153474523
2020,9,153474550
2020,9,153470496
2020,6,153470536
2020,9,153470682
2020,9,153470941
2020,9,153470810
2020,9,153475197
2020,9,153475226
2020,9,153471076
2020,6,153471166
2020,9,153476393
2020,6,153476230
2020,3,153475492
2020,9,153475676
2020,9,153475867
2020,8,154399781
2020,9,155426018
2020,6,155426021
2020,6,155428936
2020,6,155428934
2020,6,155429016
2020,6,155429020
2020,8,155431475
2020,8,155429224
2020,9,155429867
2020,9,155431891
2020,7,155429942
2020,6,155431998
2020,8,155430028
2020,8,155432057
2020,3,155432572
2020,6,155432576
2020,6,155430171
2020,6,155432611
2020,6,155430635
2020,6,155430630
2020,9,155430820
2020,9,155432939
2020,1,155433012
2020,6,155436259
2020,6,155433291
2020,6,155436213
2020,6,155433198
2020,9,155436268
2020,6,155436290
2020,6,155433322
2020,9,155433390
2020,8,155436512
2020,6,155433591
2020,9,155433711
2020,3,155436651
2020,6,155434025
2020,6,155434101
2020,9,155437087
2020,9,155437088
2020,12,155437089
2020,9,155437140
2020,8,155437178
2020,8,155437220
2020,6,155434342
2020,9,155434331
