"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,12,134577574,15.1,1,16071787
2020,2,132848636,0.141,3,15748705
2020,4,132848636,0.141,3,15748706
2020,12,134577816,1,1,16071804
2020,5,132849330,9,4,15746010
2020,5,132848700,0.052,3,15748719
2020,12,132854678,1,1,15746084
2020,5,132855337,10,4,15746193
2020,16,132852031,1,9,15748926
2020,12,132852031,0.1,9,15748925
2020,2,132852245,3,1,15746258
2020,5,132852245,10,1,15748952
2020,5,132855980,14,1,15746261
2020,5,132852268,1,1,15748954
2020,5,132856018,5,1,15748958
2020,5,132852476,1,1,15748985
2020,5,134583175,8,1,16074417
2020,2,134586586,1,1,16072201
2020,5,134586586,20,1,16072202
2020,17,134586887,,,16072228
2020,5,130933769,0.024,3,15249692
2020,5,130938076,1,1,15244858
2020,12,133978908,1,11,15965914
2020,15,133978908,16,9,15965915
2020,5,133981654,3,1,15965934
2020,7,133981832,7,1,15978522
2020,8,133981832,22,1,15978521
2020,11,133981832,12,1,15965998
2020,16,133982237,1,1,15966127
2020,5,133982320,2,1,15966164
2020,17,133982360,0.5,1,15966181
2020,5,133982360,1,1,15966182
2020,16,133982524,3,1,15966221
2020,17,133982524,1,1,15966220
2020,5,133982524,3,1,15966222
2020,8,133985165,,,15966309
2020,5,133985965,,,15978918
2020,5,133983654,,,15966552
2020,5,133985944,1,1,15978914
2020,12,133985968,1,11,15978920
2020,5,133983898,,,15978998
2020,5,133986247,1,1,15966629
2020,5,133984223,2.857,3,15966712
2020,5,133986961,,,15966792
2020,5,133987862,2,1,15979414
2020,5,133990616,,,15967084
2020,5,134004655,0.07,3,15980641
2020,5,134004658,2.821,3,15980643
2020,12,134004660,0.493,3,15980645
2020,4,134004660,0.423,3,15980644
2020,5,135980515,7.8,1,16308477
2020,5,135980345,0.176,3,16313181
2020,5,135980585,,,16313204
2020,5,135980556,6.2,1,16308482
2020,12,135980556,0.9,1,16308481
2020,17,135978437,1,9,16308489
2020,5,135978495,3.4,1,16313211
2020,12,135980888,0.07,3,16308521
2020,12,135978729,0.014,3,16313250
2020,5,135978752,1.9,1,16308541
2020,5,135981015,0.144,3,16313263
2020,12,135978792,0.015,3,16308550
2020,5,135978792,0.031,3,16308546
2020,12,135978792,1,9,16308547
2020,12,135981138,3,1,16308566
2020,2,135981188,1,1,16308569
2020,5,135979089,17.8,1,16308580
2020,17,135979089,0.15,1,16308579
2020,5,135981273,4.6,1,16308589
2020,4,135981371,1,1,16308598
2020,17,135979262,1.46,1,16313308
2020,5,135979262,0.44,1,16308604
2020,4,135981438,,,16308602
2020,5,135981442,,,16308605
2020,5,135981540,,,16308614
2020,5,130933734,1,9,15249672
2020,5,130938053,0.239,3,15244850
2020,17,130933829,1,9,15249733
2020,5,130938038,0.02,3,15244841
2020,5,130938132,0.264,3,15249748
2020,5,130938132,9,10,15249747
2020,5,130933870,0.098,3,15249751
2020,5,130933806,1,11,15244870
2020,5,130933823,0.017,3,15249729
2020,12,136749062,4.232,3,16458826
2020,5,136749097,0.035,3,16429055
2020,12,136749934,1,11,16429103
2020,8,136749976,2,9,16429140
2020,17,136749976,0.035,3,16458931
2020,5,136749986,0.01,3,16458950
2020,16,136749986,7,9,16429148
2020,5,136749247,0.035,3,16458963
2020,16,136749254,0.07,3,16458966
2020,5,132834918,1.98,3,15741271
2020,3,132834918,7,9,15741270
2020,5,136749258,0.007,3,16458968
2020,5,136749268,0.105,3,16458977
2020,17,136749268,0.352,3,16458979
2020,17,132835500,,,15743260
2020,5,132836229,,,15743405
2020,5,132839654,14,1,15741601
2020,5,132834379,,,15741552
2020,12,132834507,,,15743495
2020,5,132837603,30,1,15743616
2020,5,132838226,2,1,15743690
2020,5,132844582,44.2,1,15741830
2020,16,132844582,1,11,15743825
2020,17,132844582,25.2,1,15741831
2020,16,132844922,29,9,15741901
2020,5,132844922,1.1,1,15741900
2020,5,132845357,0.4,1,15743975
2020,5,132842788,10,10,15742073
2020,12,136749268,0.07,3,16458978
2020,5,132845686,0.493,3,15744105
2020,5,132845723,0.176,3,15742081
2020,12,132845745,0.11,1,15744137
2020,4,132845745,0.001,1,15744136
2020,8,132845745,0.001,1,15742087
2020,5,131466011,0.308,3,15412943
2020,12,131466011,0.02,3,15412946
2020,5,126682292,465,1,14498841
2020,5,126682306,6.4,1,14498843
2020,5,126685716,0.052,3,14498929
2020,8,126682965,,,14495178
2020,8,126682349,4,7,14495056
2020,5,126682349,0.8,1,14495055
2020,2,126685356,,,14498852
2020,5,126682393,,,14495070
2020,8,126682412,,,14495076
2020,5,126682536,,,14495109
2020,5,126685460,,,14498881
2020,5,126682885,,,14498920
2020,12,126682630,1,9,14498904
2020,2,126685572,,,14498907
2020,5,126683548,,,14495278
2020,16,126683202,1,9,14495203
2020,12,126683226,,,14495205
2020,8,126685864,,,14498952
2020,5,126683295,,,14495217
2020,8,126683304,1.3,9,14495219
2020,8,126683304,0.001,1,14498955
2020,8,126683304,1,11,14495220
2020,12,126683435,0.035,3,14495255
2020,5,126683534,,,14495271
2020,5,126683611,3,3,14495285
2020,16,126683899,,,14495335
2020,8,126683967,0.5,9,14495349
2020,12,126686271,0.1,1,14495361
2020,11,126686271,1.501,1,14495360
2020,4,126684047,0.111,1,14499015
2020,12,126684047,1.231,1,14499016
2020,17,126684047,0.005,1,14499017
2020,12,126684235,1.2,1,14495400
2020,5,131466482,14,1,15408808
2020,5,126684293,3.6,1,14495407
2020,12,126684327,,,14499032
2020,5,126684362,5,1,14495424
2020,16,126684461,5,9,14495448
2020,8,126684461,2,9,14495449
2020,5,126684490,7.43,1,14495456
2020,5,126690241,0.035,3,14495740
2020,12,126686518,28.091,1,14499096
2020,5,126684502,0.07,3,14495462
2020,4,126684540,0.062,1,14495468
2020,4,126690363,0.035,3,14495794
2020,8,126684565,6.087,1,14495479
2020,2,126690324,0.105,3,14495781
2020,5,126689618,0.282,3,14495502
2020,5,126690227,0.035,3,14495736
2020,5,126689708,0.049,3,14495531
2020,16,126689929,1.5,9,14495622
2020,5,126690304,1,11,14495773
2020,5,126689756,1.001,1,14495548
2020,5,126689855,0.035,3,14495589
2020,12,126689858,0.114,3,14495591
2020,5,126686541,11.182,1,14499104
2020,5,126689996,0.001,1,14495643
2020,5,126689883,0.959,3,14495601
2020,5,126689887,,,14495605
2020,5,126690505,0.052,3,14495855
2020,5,126689890,37.07,1,14495607
2020,12,126690966,0.179,3,14496066
2020,12,126690304,0.07,3,14495774
2020,3,126690304,1,11,14495772
2020,5,126690528,0.035,3,14495863
2020,5,126690786,0.44,3,14495991
2020,5,126690318,0.282,3,14495779
2020,12,126686532,0.141,3,14499103
2020,5,126686536,0.07,3,14495782
2020,5,126686546,0.317,3,14495791
2020,5,126690359,2.116,3,14495792
2020,5,126691068,0.035,3,14496097
2020,4,126686578,0.141,3,14499122
2020,3,126690786,0.881,3,14495990
2020,5,126690776,0.008,3,14495984
2020,5,126690539,0.012,1,14495872
2020,4,126690539,0.462,1,14495871
2020,17,126690539,7,9,14499133
2020,12,126690557,3.985,3,14495883
2020,5,126691000,1.015,1,14496078
2020,5,126691009,0.282,3,14496082
2020,5,126686615,3.576,3,14499137
2020,5,126690615,0.176,3,14495907
2020,17,126690896,1,11,14496030
2020,12,126690896,1,11,14496029
2020,11,126690645,0.194,3,14495925
2020,8,126690645,6.5,9,14495923
2020,5,126690645,2.292,3,14495922
2020,5,126690647,0.176,3,14495926
2020,12,126690822,7.76,3,14496003
2020,5,126690822,0.035,3,14499173
2020,5,126690836,0.001,3,14496008
2020,5,126690798,0.07,3,14495998
2020,12,126690818,0.052,3,14496002
2020,5,126690828,0.176,3,14496005
2020,5,126690838,0.352,3,14496009
2020,12,126690838,128,7,14496010
2020,17,126690860,11.021,1,14496016
2020,5,126690933,0.529,3,14496041
2020,12,126690933,1.428,3,14496042
2020,16,126690933,1,9,14496043
2020,5,126690962,0.078,3,14496062
2020,5,126690966,0.042,3,14496065
2020,12,126691094,0.035,3,14496103
2020,7,126690970,0.035,3,14499187
2020,5,126691049,0.105,3,14496091
2020,5,126691054,0.035,3,14496094
2020,12,126691068,0.035,3,14496098
