"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,39253233,1,39473712
2020,39253236,1,39473714
2020,39253237,1,39473715
2020,39262616,1,39483024
2020,39253275,1,39473754
2020,39262619,1,39483028
2020,39262624,1,39483033
2020,39262629,1,39483038
2020,39262646,1,39483057
2020,39262645,1,39483056
2020,39262653,1,39483061
2020,39262655,1,39483063
2020,39253390,1,39473872
2020,39262684,7,39483091
2020,39262689,1,39483096
2020,39253423,1,39473902
2020,39262722,1,39483131
2020,39262757,1,39483167
2020,39262789,3,39483197
2020,39262783,1,39483191
2020,39262785,1,39483193
2020,39262784,1,39483192
2020,39262788,1,39483196
2020,39253509,1,39473992
2020,39253514,1,39473997
2020,39262805,1,39483213
2020,39262829,1,39483235
2020,39253548,3,39474033
2020,39253549,3,39474034
2020,39262971,3,39483375
2020,39262972,1,39483376
2020,39262994,1,39483400
2020,38379299,1,38461252
2020,38379347,1,38461301
2020,38379381,3,38454888
2020,38379380,3,38454886
2020,38383467,3,38454887
2020,38379386,1,38461338
2020,38379450,1,38461401
2020,38673346,1,38759295
2020,38673369,1,38759325
2020,38673393,1,38759345
2020,38673395,1,38754062
2020,38673394,1,38759346
2020,38677317,1,38754064
2020,38673512,1,38754132
2020,38673541,1,38759489
2020,38677512,1,38759655
2020,38673708,1,38759660
2020,38677527,1,38754279
2020,38677588,1,38759786
2020,38677598,1,38759800
2020,38673857,1,38759811
2020,38674042,1,38760032
2020,38677775,1,38760039
2020,38677774,1,38754486
2020,38674339,1,38760315
2020,38677982,1,38760383
2020,38674418,1,38754707
2020,38674415,1,38760404
2020,38678023,1,38754731
2020,38677281,1,38754031
2020,38673483,1,38754114
2020,38673759,1,38759704
2020,38673820,1,38759766
2020,38673835,1,38759784
2020,38677627,1,38759829
2020,38674341,2,38760316
2020,38674382,1,38760364
2020,38674435,1,38760423
2020,38679666,1,38754890
2020,38679671,1,38760669
2020,38678126,1,38754836
2020,38679631,1,38754861
2020,38679694,3,38760693
2020,38679690,3,38760689
2020,38679692,1,38760691
2020,38678214,1,38760731
2020,38679807,1,38760794
2020,38678253,1,38760806
2020,38679865,7,38764994
2020,40959537,1,41344750
2020,40959539,6,41338831
2020,40959541,1,41344754
2020,40959543,1,41344756
2020,40958361,1,41338834
2020,40958362,1,41338835
2020,40959545,8,41344759
2020,40958395,1,41344791
2020,40959562,1,41344776
2020,39260977,1,39471971
2020,39260978,1,39481401
2020,39260995,1,39481418
2020,39260998,1,39481421
2020,39261011,1,39481430
2020,39251775,1,39481599
2020,39261089,1,39481515
2020,39251753,1,39472214
2020,39261188,1,39472245
2020,39251834,1,39472282
2020,39261602,1,39482025
2020,39261688,1,39472878
2020,39261690,1,39472879
2020,39252437,1,39472895
2020,39252485,1,39472944
2020,39261784,1,39473013
2020,38673356,1,38759307
2020,38673523,1,38759474
2020,38673526,1,38759477
2020,38673632,1,38754213
2020,38674116,1,38760100
2020,38674470,1,38760456
2020,38679613,1,38760609
2020,38678144,1,38754848
2020,38678146,1,38754851
2020,38679639,1,38760634
2020,38678163,1,38754870
2020,38678256,1,38760813
2020,38679889,1,38760867
2020,38673576,1,38759530
2020,38677482,1,38759617
2020,38673678,3,38759622
2020,38677544,1,38759707
2020,38677541,1,38759705
2020,41621426,1,42025937
2020,41621428,1,42021853
2020,41621443,1,42025948
2020,41608770,1,42025964
2020,41608781,1,42025977
2020,41608804,1,42025998
2020,41621447,1,42021872
2020,41621460,1,42021885
2020,41621455,1,42021881
2020,41608818,1,42026010
2020,41608823,1,42026016
2020,41621466,1,42026022
