"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2020,21,161958118
2020,21,161958147
2020,21,161958149
2020,21,161962279
2020,21,161962334
2020,21,161962389
2020,21,161962497
2020,21,161962498
2020,21,161958574
2020,21,161962575
2020,21,161958701
2020,21,161958700
2020,21,161962705
2020,21,161958802
2020,21,161962796
2020,21,161962791
2020,21,161962899
2020,21,161958958
2020,21,161963043
2020,21,161963065
2020,21,161963218
2020,21,161959622
2020,21,161959677
2020,21,161959716
2020,21,161963318
2020,21,161959747
2020,21,161963343
2020,21,161959928
2020,21,161959951
2020,1,161960173
2020,21,161960078
2020,21,161963697
2020,21,161960311
2020,21,161963788
2020,21,161963826
2020,21,161963828
2020,21,161963853
2020,21,161960450
2020,21,161964007
2020,21,161964008
2020,21,161960513
2020,21,161964070
2020,21,161964081
2020,21,161964086
2020,21,161964088
2020,21,161964111
2020,21,161964110
2020,21,161964117
2020,21,161964129
2020,21,161964230
2020,21,161964273
2020,21,161964291
2020,21,161964379
2020,21,161964435
2020,21,161964444
2020,21,161961066
2020,21,161961085
2020,21,161964595
2020,21,161966191
2020,21,161964668
2020,21,161964696
2020,21,161966346
2020,21,161966345
2020,21,161964765
2020,21,161964761
2020,21,161964762
2020,21,161966347
2020,21,161964782
2020,21,161966383
2020,21,161964791
2020,21,161966403
2020,21,161964856
2020,21,161964859
2020,21,161966460
2020,21,163141473
2020,21,163137320
2020,21,163137570
2020,21,163141568
2020,21,163137581
2020,21,163137907
2020,21,163141909
2020,21,163137883
2020,21,163142095
2020,21,163138055
2020,21,163138357
2020,21,163142625
2020,21,163138486
2020,21,163138650
2020,22,163142836
2020,21,163142846
2020,22,163138693
2020,21,163138790
2020,21,163138875
2020,21,163138919
2020,21,163138926
2020,21,163139208
2020,21,163139249
2020,21,163143390
2020,21,163143490
2020,21,163143516
2020,21,163139535
2020,21,163143579
2020,21,163143581
2020,21,163139616
2020,21,163143683
2020,21,163139683
2020,21,163139682
2020,21,163143757
2020,21,163139789
2020,21,163139787
2020,21,163139819
2020,21,163139983
2020,21,163144132
2020,21,163144172
2020,21,163144177
2020,21,163144230
2020,21,161956554
2020,21,161961244
2020,21,161957188
2020,21,161956904
2020,21,161957075
2020,21,161961529
2020,21,161957264
2020,21,161957293
2020,21,161961827
2020,21,161961626
2020,21,161957651
2020,21,161957646
2020,21,161957711
2020,21,161957708
2020,21,161957736
2020,21,161961938
2020,21,161961977
2020,21,161957825
2020,21,161957826
2020,21,161962028
2020,21,161962038
2020,21,161957925
2020,21,161962101
2020,21,161958154
2020,21,161962266
2020,21,161958158
2020,21,161958263
2020,21,161958410
2020,21,161962442
2020,21,161958485
2020,22,161958549
2020,21,161962609
2020,21,161962643
2020,21,161962645
2020,21,161962646
2020,21,161958756
2020,21,161962779
2020,21,161962862
2020,21,161958910
2020,21,161962883
2020,21,161958943
2020,21,161958984
2020,21,161959030
2020,21,161962982
2020,21,161963004
2020,21,161959097
2020,21,161963038
2020,21,161963063
2020,21,161963111
2020,21,161963118
2020,21,161963114
2020,21,161959389
2020,21,161959414
2020,21,161959565
2020,21,161959600
2020,21,161963378
2020,21,161960026
2020,21,161963594
2020,21,161963801
2020,21,161963662
2020,21,161963766
2020,21,161960354
2020,21,161963841
2020,21,161963920
2020,21,161963951
2020,21,161964009
2020,21,161964072
2020,21,161964101
2020,21,161960597
2020,21,161964172
2020,21,161964171
2020,21,161964197
2020,21,161964198
2020,21,161964241
2020,21,161964275
2020,21,161960782
2020,21,161960843
2020,21,161964417
2020,21,161964422
2020,21,161964495
2020,21,161964543
2020,21,161964545
2020,21,161966181
2020,21,161964649
2020,21,161966272
2020,21,161966316
2020,21,161964754
2020,21,161966340
2020,21,161966357
2020,21,161964808
2020,21,161964833
2020,21,161964847
2020,21,161964851
2020,21,163138268
2020,21,163138417
2020,21,163142689
2020,21,163138714
2020,21,163138685
2020,22,163142870
2020,21,163138723
2020,21,163138725
2020,21,163138742
2020,21,163138768
2020,21,163138910
2020,21,163143078
2020,21,163139048
2020,21,163139124
2020,21,163143226
2020,21,163139127
2020,21,163143306
2020,21,163139270
2020,21,163143414
2020,21,163143418
2020,21,163139365
2020,21,163139416
2020,21,163139496
2020,21,163143554
2020,21,163143605
2020,21,163139625
2020,21,163143669
2020,21,163143670
2020,21,163143772
2020,21,163143787
2020,21,163139779
2020,2,163139869
2020,21,163139910
2020,21,163143961
2020,21,163140046
2020,21,163140045
2020,21,163144034
2020,21,163140056
2020,21,163140073
2020,21,163140104
2020,21,163140103
2020,21,163140857
2020,21,163140913
2020,21,163135613
2020,21,163135615
2020,21,163135818
